u1,u2,u3,u4,u5,u6,u7
59.1,66.84,46.8,53.5,39.38,20.08,28.56
68.24,59.42,40.12,54.26,35.18,17.12,36.5
61.16,54.12,39.3,53.98,38.74,20.2,30.28
63.44,59.58,41.32,63.22,35.22,21.5,31.36
67.9,59.84,40.7,66.52,27.7,23.28,26.48
63.02,64.52,42.56,67.52,28.98,34.5,25.24
63.36,55.18,46.38,54.88,24.42,23.84,17.06
68.52,70.84,43.02,41.36,36.16,27.18,3.24
79.6,67.56,51.66,47.36,39.7,30.6,6.78
77.46,69.96,40.6,42.38,33.78,30.36,33.66
72.02,64.72,55.94,46.68,40.08,31.04,19.84
83.98,69.16,52.7,44.5,41.42,15.14,22.36
81.18,61.14,51.04,56.24,30.28,35.14,17.76
87.72,53.2,48.5,56.36,25.4,36.4,22.32
87.14,44.26,49.6,61.78,36.5,17.72,28.14
75.5,45.4,50.86,63.24,34.66,22.38,53.74
84.1,47.5,53.62,67.46,41.9,24.9,27.3
83.88,55.74,51.44,69.38,35.34,27.2,21.92
84.2,51.34,62.12,68.98,24.86,27.08,12.36
83.04,48.24,57.78,72.6,5.22,21.72,24.38
78.92,46.64,64.56,69.38,19.72,27.92,24.44
75.74,47.86,54.9,65.28,32.18,30.92,27.18
76.02,52.76,52.82,54.68,30.14,23.34,26.62
74.98,52.84,58.86,60.4,31.66,30.56,-1.42
78.24,51.04,61.22,57.14,22.62,20.56,24.66
62.98,50.68,59.34,56.26,36.72,23.74,34.56
58.06,49.22,56.7,51.3,42.8,26.44,28
62.28,49.24,66.1,42.02,29.6,29.02,23.98
55.5,55.7,73.44,46,40.48,37.42,30.44
56.76,45.2,73.32,42.68,35.62,34.2,23.22
61.66,49.46,65.24,46.9,32.84,37.12,12.9
65.34,50.64,69.44,60.6,31.76,36.9,23.56
60.16,59.28,65,75.14,22.94,39.04,7.66
62.6,62.56,66.1,74.76,20.66,41.14,25.24
58.48,64.1,51.5,80,31.1,42.26,25.58
58.94,63.88,53.46,71.7,35.7,32.84,25.54
62.16,66.52,51.98,64.84,33.9,33.08,28.66
66.52,71.7,55.72,77,29.8,27.86,29.54
57.7,58.92,54.88,68.7,32.66,38.72,21.38
59.88,54.08,58.1,76.5,22.84,39.82,21.5
66.22,59.14,65.3,68.68,38.78,47.12,24.3
72.32,60.58,58.66,68.36,37.44,48.46,32.28
61.24,58.36,64.08,68,31.26,45.82,21.26
62.52,55.2,57.6,71.32,33.3,43.02,25.24
62.22,48.38,59.08,60.62,33.52,40.42,22.88
57.2,54.74,57.4,62.5,26.8,44.78,17.02
52.2,62.72,59.88,56.74,32.88,39.02,24.4
53.86,66.5,61.54,48.4,24.68,39.28,22.66
47.58,64.06,64.08,56.78,45.34,48.36,17.52
49.42,64.16,68.54,51.2,31.3,43.52,25.12
50.04,62.22,69.2,54.4,40.46,50.64,10.38
49.42,58.46,73.74,50.12,44.66,43.84,19.22
45.88,62.28,66.24,55.24,48.26,42.98,10.7
53.42,68.64,67.72,54.62,46.32,47.56,-3.74
48.94,62.16,68.88,51.48,45.64,54.34,10.74
54.32,55.92,66.8,57.36,49.18,46.68,24.28
59.48,63.06,64.46,55.58,41.8,45.9,18.38
55.68,64.84,67.02,56.3,45.26,47.72,21.08
47.54,57.66,68.7,53.58,48.96,50.58,30.3
44.44,73.42,59.72,54.38,50.86,61.84,28.52
54.88,62.4,65.88,49.04,47.8,60.64,24.18
65.66,64.68,54.98,56.86,43.84,56.44,24.36
58.26,67.52,59.42,56.8,47.36,56.32,24.06
57.74,60.42,60.34,46.54,45.1,47.46,27.74
57.98,58.84,59.18,47.04,53.04,62.84,34.26
62.16,60.58,59.9,55.4,40.94,49.54,29.88
57.8,57.3,51.56,50,50.7,46.08,33.88
64.78,63.28,53.48,46.9,56.04,50.64,33.5
63.94,65.5,55.46,51.04,47.76,20.1,26.72
48.2,68.7,54.98,45.8,41.96,32.26,26.8
53.96,65.84,60.56,41.98,30.72,35.92,27.3
52.36,69.26,56.1,40.4,42.08,35.8,31.44
53,74.58,55.24,37.66,38.54,37.36,30.54
58.24,71.2,51.62,27.02,45.28,36.34,25.74
60.98,76.76,60.34,35,45.32,37.22,1.74
54.12,80.42,54.8,36.94,41.04,35.54,23.96
41.14,86.36,54.1,25.72,36.4,28.54,19.32
43.12,80.7,57.74,45.28,37.98,23.4,14.58
41.14,86.28,58.22,36.5,48.68,22.46,16.48
42.2,86.8,51.66,40.8,28.62,38.4,18.88
